unique_member_identifier,OrderID,points,OrderDt
9B0E434F-CCDF-46D7-9C6E-B48321B41D69,288960,2500,2016-04-05 20:19:00
9B0E434F-CCDF-46D7-9C6E-B48321B41D69,322961,5000,2017-10-13 19:09:00
9B0E434F-CCDF-46D7-9C6E-B48321B41D69,322961,5000,2017-10-13 19:09:00
9B0E434F-CCDF-46D7-9C6E-B48321B41D69,288958,5000,2016-04-05 20:10:00
9B0E434F-CCDF-46D7-9C6E-B48321B41D69,310196,5000,2016-12-22 17:39:00
9B0E434F-CCDF-46D7-9C6E-B48321B41D69,290619,2500,2016-04-30 16:26:00
9B0E434F-CCDF-46D7-9C6E-B48321B41D69,282543,2500,2015-12-16 20:44:00
9B0E434F-CCDF-46D7-9C6E-B48321B41D69,282543,2500,2015-12-16 20:44:00
9B0E434F-CCDF-46D7-9C6E-B48321B41D69,282543,2500,2015-12-16 20:44:00
9B0E434F-CCDF-46D7-9C6E-B48321B41D69,299530,5000,2016-08-12 16:38:00
D300CF01-41ED-49FA-9DCF-40C97E8A54C6,289770,5000,2016-04-18 21:14:00
396B5AA8-C400-4B3E-9E7C-4E44EA99C611,311545,5000,2017-01-16 15:11:00
396B5AA8-C400-4B3E-9E7C-4E44EA99C611,311567,5000,2017-01-17 13:25:00
CC4D01AE-B59E-428C-BEBC-3567AF6584DD,318928,10000,2017-07-10 22:07:00
CC4D01AE-B59E-428C-BEBC-3567AF6584DD,296542,10000,2016-07-10 13:43:00
2F0BAE7F-E410-4986-8BEE-6BA6F25D2210,287331,5000,2016-03-11 21:04:00
867FC529-6751-4DDF-8450-183749FC1A17,323149,5000,2017-10-19 21:41:00
9E5E4783-D505-4C40-8C4F-B783C9A85A76,314497,10000,2017-03-18 17:21:00
89D2814A-8903-4724-858C-CAE5F0013F27,319527,2500,2017-07-25 20:55:00
89D2814A-8903-4724-858C-CAE5F0013F27,319527,2500,2017-07-25 20:55:00
89D2814A-8903-4724-858C-CAE5F0013F27,319527,2500,2017-07-25 20:55:00
6FA7AB79-D3A6-41F0-81A8-8E69F619B60D,287794,5000,2016-03-18 17:51:00
E1F17AFD-3CDB-49C8-8F28-79F57ACAA1E0,288340,5000,2016-03-28 12:23:00
C3927C90-B897-4138-9AB9-C6794DCF525A,302625,2500,2016-09-29 10:55:00
C3927C90-B897-4138-9AB9-C6794DCF525A,302625,2500,2016-09-29 10:55:00
C3927C90-B897-4138-9AB9-C6794DCF525A,321399,2500,2017-09-07 09:48:00
1929E75D-4E3C-4E40-BA74-961ACD4B21EA,283464,2000,2015-12-28 21:12:00
20EB8947-8647-45E9-A32D-DC1595BB9A12,297383,5000,2016-07-19 21:32:00
