AccountHistoryTypeID,Name,Descr
482,Member has been provided a new PIN,Mobile Ticketing promo - Member has been provided a new PIN
483,Member is not eligible,Mobile Ticketing promo - Member is not eligible
484,All valid members,Mobile Ticketing promo - Members who has entered correct card number and passed capture control
485,Member has forgotten card,Mobile Ticketing promo - Member has been sent the card by email
486,Member has forgotten card,Send My Card promo - Member has been sent the card by email
487,Member email in suppression list,Send My Card promo - Member email in suppression list
488,Member has multiple account,Send My Card promo - Member has multiple accounts associated with one email
489,Sport Chek The North Face Promotion,Sport Chek The North Face Promotion
490,Customer Not In Promo Top-Up,Member not eligible for the top-up promo wave
491,CARA - Swiss  Chalet Delivery - Points Adjustment,CARA - Swiss Chalet Delivery - Points Adjustment
492,CARA - Swiss  Chalet Delivery - Promotion Bonus,CARA - Swiss Chalet Delivery - Promotion Bonus
493,CARA - Swiss  Chalet Delivery - Other,CARA - Swiss Chalet Delivery - Other
494,CARA - Swiss  Chalet Delivery - Technical Issues,CARA - Swiss Chalet Delivery - Technical Issues
495,"TELUS 5,000 Promotion November 2015","TELUS 5,000 Promotion November 2015"
496,Sport Chek Anniversary Promo,Sport Chek Anniversary Promo
497,Cineplex Store Points Adjustment,Cineplex Store Points Adjustment
498,Carrot Rewards Head Office Escalation,Carrot Rewards Head Office Escalation
499,Carrot Rewards Points Adjustment,Carrot Rewards Points Adjustment (App/technical Error)
500,Carrot Rewards Other,Carrot Rewards Other (notes in comments)
501,D2D Scotia Scene Link Open,SCENE Member link opened to a D2D Scotia SCENE Product
502,D2D Scotia Scene Link Close,SCENE Member link closed to a D2D Scotia SCENE Product
503,VISA Scotia Scene Link Open,SCENE Member link opened to a VISA Scotia SCENE Product
504,VISA Scotia Scene Link Close,SCENE Member link closed to a VISA Scotia SCENE Product
505,VPP Scotia Scene Link Open,SCENE Member link opened to a VPP Scotia SCENE Product
506,VPP Scotia Scene Link Close,SCENE Member link closed to a VPP Scotia SCENE Product
507,Sport Chek Feb-Mar 2016 Promo,Sport Chek Feb-Mar 2016 Promo
508,Sport Chek 2016 FitBit Promo,Sport Chek 2016 FitBit Promo
509,Marks February 2016 Promotion,Marks February 2016 Promotion
510,L’Equipeur Février 2016 Promotion,L’Equipeur Février 2016 Promotion
512,SportChek March 2016 Under Armour Promotion,Sport Chek March 2016 Under Armour Promotion
513,Scotiabank Retention,Scotiabank Retention
514,Sport Chek 2 Day Mar 2016 Promo,Sport Chek 2 Day Mar 2016 Promo
515,Sports Experts April 2016 Under Armour Promotion,Sport Experts April Under Armour 2016
516,SportChek-GT Bike 2016,SportChek-GT Bike 2016
517,SportChek-TaylorMade2016,SportChek-TaylorMade2016
519,Top Up Promotion Reversal,Top Up bonus reversal for no BC activity during promotion
520,Account Verified,Account Verified by CSR
521,Adding New Disposition Type,Adding New Disposition Type
522,BC Education Promo 2015,BC Education Promo 2015
523,Customer Locked,Customer is locked by CSR
524,Customer Unlocked,Customer is unlocked by CSR
525,L'Equipeur Aout 2015 Promotion,L'Equipeur Aout 2015 Promotion
526,Marks August 2015 Promotion,Marks August 2015 Promotion
527,Marks Online August 2015 Promotion,Marks Online August 2015 Promotion
528,Member has multiple account,Send My Card promo - Member has multiple accounts associated with one email
529,Top-Up Promotion,Top-Up Promotion Adjustment
530,Point Adjustment Test1,Point Adjustment Test1
531,Bonds Points Adjustment,Bonds Points Adjustment
534,10k D2D Xsell Offer,10k D2D Xsell Offer
535,20k D2D Xsell Offer,20k D2D Xsell Offer
536,SCENEtourage Grand Prize,SCENEtourage Grand Prize
537,SportChek-2DayJune2016,SportChek-2DayJune2016
538,Sport Chek 2 Day Jun 2016 Promo,Sport Chek 2 Day Jun 2016 Promo
540,"TELUS 5,000 Promotion July 2016","TELUS 5,000 Promotion July 2016"
541,SportChek-Bauer Aug 2016,SportChek-Bauer Aug 2016
542,Marks August 2016 Promotion,Marks August 2016 Promotion
543,L'Equipeur Aout 2016 Promotion,L'Equipeur Aout 2016 Promotion
544,SportChek-Kids Aug 2016,SportChek-Kids Aug 2016
545,Member has forgotten card,Send My Card promo - Member has been sent the card by email
546,Member has multiple account,Send My Card promo - Member has multiple accounts associated with one email
547,Member email in suppression list,Send My Card promo - Member email in suppression list
548,Member has forgotten card,Send My Card promo - Member has been sent the card by email
549,Member has multiple account,Send My Card promo - Member has multiple accounts associated with one email
550,Member email in suppression list,Send My Card promo - Member email in suppression list
551,Member has forgotten card,Send My Card promo - Member has been sent the card by email
552,Member has multiple account,Send My Card promo - Member has multiple accounts associated with one email
553,Member email in suppression list,Send My Card promo - Member email in suppression list
554,Member has forgotten card,Send My Card promo - Member has been sent the card by email
555,Member has multiple account,Send My Card promo - Member has multiple accounts associated with one email
556,Member email in suppression list,Send My Card promo - Member email in suppression list
557,BNS D2D 10x Mass Offer 2016,BNS D2D 10x Mass Offer 2016
558,BNS D2D 10K Target Offer 2016,BNS D2D 10K Target Offer 2016
559,Member has forgotten card,Send My Card promo - Member has been sent the card by email
560,Member has multiple account,Send My Card promo - Member has multiple accounts associated with one email
561,Member email in suppression list,Send My Card promo - Member email in suppression list
562,Member has forgotten card,Send My Card promo - Member has been sent the card by email
563,Member has multiple account,Send My Card promo - Member has multiple accounts associated with one email
564,Member email in suppression list,Send My Card promo - Member email in suppression list
565,SportChek-UA Sept 2016,SportChek-UA Sept 2016
566,BC Education Promo 2016,BC Education Promo 2016
567,SCENE-WEday Oct 2016,SCENE-WEday Oct 2016
568,Music Store Redeemed Points - Adjustment,Music Store Redeemed Points - Adjustment
569,Tangerine Quebec Promo 2016,Tangerine Quebec Promo 2016
572,"TELUS 5,000 Promotion November 2016","TELUS 5,000 Promotion November 2016"
573,"TELUS 10,000 Promotion November 2016","TELUS 10,000 Promotion November 2016"
574,ShowOff-Nov2016,ShowOff-Nov2016
575,IW6 - CARA 50X,IW6 - CARA 50X
576,Scotia1FreeMovieJD,Scotia1FreeMovieJD
577,InterestsUpdated,InterestsUpdated
578,ScotiaHockey-FreeMovies,Scotiabank Hockey - Free Movies for a year
579,IW1 – Redeem & Get 250,IW1 – Redeem & Get 250
580,Marily Denis PIN Promo 2017,Marily Denis PIN Promo 2017
581,Earn 5x points on your next movie ticket purchase,Earn 5x points on your next movie ticket purchase
582,The Gathering Feb 2017,The Gathering Feb 2017
583,SCENE-WEday Feb 2017,SCENE-WEday Feb 2017
584,SportChek-UA Mar 2017,SportChek-UA Mar 2017
585,Marks February 2017 Promotion,Marks February 2017 Promotion
586,L’Équipeur February 2017 Promotion ,L’Équipeur February 2017 Promotion 
587,Account Adjustment - F,Account Adjustment - F
588,Rogers Texture PIN 2017,Rogers Texture PIN 2017
589,Attempted redeem during lock,Attempted to redeem during lock period
590,Earn 5x points on your next movie - Wave 2,Earn 5x points on your next movie ticket purchase for Targeted Inactive Members
591,SportChek FitBit April PIN 2017,SportChek FitBit April PIN 2017
592,IW2 2017 – CARA 50X,50X Dining Offer/50X les points au resto
593,Savings Bundle 1K Offer,SS Bundles Fulfillment Spring 2017
594,Savings Bundle 2K Offer,SS Bundles Fulfillment Spring 2017
595,Savings Bundle 5K Offer,SS Bundles Fulfillment Spring 2017
596,Scotiabank Applause,Scotiabank Applause
597,iTrade Fall 2016 offer,iTrade Fall 2016 offer
598,SportChek Canada Day Jun 2017,Sport Chek Canada Day Promotion
599,SportChek Canada Day 2017 Offer,SportChek Canada Day 2017 Offer
600,Marks Back to School 2017,Marks Back to School 2017
601,Scotia Auto Insurance Quote 2017,Points fulfilment for Scotia SCENE ScotiaLife Auto Insurance quote offer spring 2017
602,PrintCardRequest,PlasticCard Changed to Request
603,PrintCardDecline,PlasticCard Changed to Decline
604,Montana’s Redemption Contest,Montana’s Redemption Contest
605,Scotiabank On-Campus Activations 2017,Scotiabank On-Campus Activations 2017
606,Scene API Web Login,Customer logged into Scene API Web Login
607,Scene API MobileApp Login,Customer logged into Scene API MobileApp
608,Scene API Kiosk Login,Customer logged into Scene API Kiosk
609,Sport Chek Kids BTS 2017 Promotion,Sport Chek Kids BTS 2017 Promotion
610,Scotiabank BOR round table event,Scotiabank BOR round table event
611,Sport Chek Under Armour September 2017,Sport Chek Under Armour September 2017
612,Beyond 150 Contest 2017,Beyond 150 Contest 2017
613,Spotify Guestlist 2017 Instant Win,Spotify Guestlist 2017 Instant Win
614,Sporting Life Fall 2017 Promotion,Sporting Life Fall 2017 Promotion
615,Referred by another member,Member Referral – this member was referred by an existing member
616,Referred another member,Member Referral – this member referred a new SCENE member
617,Reached maximum daily referrals,Member Referral – this member reached the maximum number of referrals allowed per DAY
618,Reached maximum offer referrals,Member Referral – this member reached the maximum number of referrals allowed for an offer
619,Reached maximum annual referrals,Member Referral – this member reached the annual maximum of referrals allowed per calendar year
620,Referred member after maximum reached,Member Referral – this member referred a new SCENE member while having already reached a maximum threshold
621,Golf Town 2017 Promotion,Golf Town 2017 Promotion
622,Golf Town 2017 Promo Pt2,Golf Town 2017 Promo Pt2
623,Scene Scotia D2D 20k offer 2017 (15k Topup),Scene Scotia D2D 20k offer 2017 (15k Topup)
624,Supplementary Card Offer 2017 (1000pts),Supplementary Card Offer 2017 (1000pts)
625,Scotia D2D SOL Activation 2017-2018 (2000pts),Scotia D2D SOL Activation 2017-2018 (2000pts)
