Unique_member_identifier,Points,Adjustments,POSCineplex,POS,AccountOpenD2D,PacPadD2D,VISACineplex,VISA,VISAAccountOpen,CineplexIssue,CineplexRedeem,AdjustmentBNS,AdjustmentMaritz,AdjustmentCineplex,PointsScene,PointsCatalogOrders,CARAIssue,CARARedeem,AdjustmentCARA,BNSOther,AdjustmentBNSOther,VISAPrePaid,PointsTotal
94CE56F5-A2F0-4633-A849-5A934B7D7424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3F5138E-24AB-4EB7-BBB7-E18D5660589B,1008,0,0,0,0,0,0,0,0,758,0,0,0,0,250,0,0,0,0,0,0,0,0
FA534869-304D-4C44-8203-B0E73A305D09,7648,0,1082,1566,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03F64A9C-8E15-44EA-A1B0-4A82A07B5521,650,0,0,0,0,0,0,0,0,400,0,0,0,0,250,0,0,0,0,0,0,0,0
3EDB757C-99ED-4C74-ABD1-7C9AB29A7AE7,250,0,0,0,0,0,0,0,0,970,-1000,0,0,0,280,0,0,0,0,0,0,0,0
FCCBF04F-3E54-4521-B18E-4DE36A32B46E,113,0,0,0,0,0,0,0,0,0,-1000,0,0,0,995,0,118,0,0,0,0,0,0
D28A5227-1A0F-4366-BAB4-C35D7754F3FE,364,0,0,0,0,0,0,0,0,100,0,0,0,0,250,0,14,0,0,0,0,0,0
0C7CADE0-EF6C-432A-B083-94B92D5AFF8D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B9F9E893-7709-4CCC-9227-8EDF0D2E6FD3,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19AFB6FA-269E-429B-85E7-43D90D731414,5049,0,6,43,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E6839E5E-8496-4E36-9F3B-C0EEC6B65B55,400,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0
FB3F4E29-6888-4310-A83C-01C055F68A06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1B49BF6A-3BD9-4C13-95E8-158BC5AD1B57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FF74CA3F-D1D9-4E4D-8E7E-E1386BE43EE1,328,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0
0D760880-58F9-477C-BD82-A3DB46531886,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,0,0,0,0,0,0,0
9E6C2DC3-4E53-4438-ABE8-CBD100C18983,646,0,0,0,0,0,0,0,0,300,0,0,0,0,346,0,0,0,0,0,0,0,0
7DCF4D93-EE47-4B48-BC93-27C74D6B962C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8E080F3-83F8-447B-A329-32A24EF01CA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7D0F7AE7-CFDC-47EA-B132-B0611B9FCEE7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16965801-74DA-4D78-9F64-D0FE208AB756,375,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47CDCA5E-828E-44F6-8CB3-96F10340C10C,980,0,0,0,0,0,715,5195,2000,1314,-8500,0,0,0,250,0,6,0,0,0,0,0,0
9F89B933-5960-4459-A262-EAA0D3582C43,1320,0,0,0,0,0,0,0,0,1070,0,0,0,0,250,0,0,0,0,0,0,0,0
55A9AD9E-FDC9-4C09-A091-99DB02385A28,1145,0,0,0,0,0,0,0,0,1895,-1000,0,0,0,250,0,0,0,0,0,0,0,0
8CCFBEAF-AD91-4012-A172-4D1D7F81543E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3E089F37-4DBB-41EA-BE57-F7A3AF449F72,450,0,0,0,0,0,0,0,0,200,0,0,0,0,250,0,0,0,0,0,0,0,0
72F24DC8-3465-44E6-8E08-9D57616FE303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86801AF3-08F3-4387-949F-55B7C7E0AB3E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A35181B2-4B4B-40D4-9738-3F8ABD20AED5,600,0,0,0,0,0,0,0,0,850,-500,0,0,0,250,0,0,0,0,0,0,0,0
AADBA115-CAB9-4464-8AA4-7EA0D48B059A,2420,0,0,4,0,0,365,7117,2000,1339,-9000,0,0,0,595,0,0,0,0,0,0,0,0
353B1D26-B0CD-470B-89E9-99B50A950E02,6364,0,0,0,0,0,0,4364,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8C12FD45-1138-4794-8D6A-C00054A8634E,438,0,0,0,0,0,0,0,0,1188,-1000,0,0,0,250,0,0,0,0,0,0,0,0
B0D14E45-A799-42E5-83B6-80A3E4FD64A3,720,0,0,0,0,0,0,0,0,470,0,0,0,0,250,0,0,0,0,0,0,0,0
CFD906E1-6C61-4B3D-9642-A63D4B2AA5BB,38,0,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893B6BD8-A2CA-48D2-8039-051E07A703AE,350,150,0,0,0,0,0,0,0,100,0,0,0,150,250,0,0,0,0,0,0,0,0
96D565E0-BE6A-47AF-ACBA-1B117283A036,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,0,1,0,0,0,0,0,0
F5F2CD25-5E1B-42B7-9D84-D438FE03FCDA,950,0,0,0,0,0,0,0,0,700,0,0,0,0,250,0,0,0,0,0,0,0,0
