LocationID,LocationCode,BrandCode,isCorporate,Name,Address,City,Province,PostalCode,OperatingStatus
98,1191,SWI,FALSE,Dixon & Hwy 27 Etobicoke      ,642 Dixon Rd,Etobicoke,Ontario,M9W 1J1,Active
99,1192,SWI,FALSE,Burnhamthorpe & Creditview Mis,1170 Burnhamthorpe Rd W,Mississauga,Ontario,L5C 4E6,Active
100,1193,SWI,FALSE,Bathurst St/Centre St Thornhil,7700 Bathurst St,Thornhill,Ontario,L4J 7Y3,Active
101,1194,SWI,FALSE,SC - Pickering                ,6303 Airport Road,Mississauga,Ontario,L4V 1R8,Closed
102,1195,SWI,FALSE,SC-510 Ste Catherine St. East ,510 Ste. Catherine St. E.,Montreal,Quebec,H2L 4W2,Closed
103,1196,SWI,FALSE,Keil Dr & Richmond Chatham    ,160 Keil Dr S,Chatham,Ontario,N7M 6B7,Active
104,1197,SWI,FALSE,Harwood-Bayly-Westney Ajax    ,105 Bayly St W,Ajax,Ontario,L1S 7K7,Active
105,1198,SWI,FALSE,King George Hwy & 96 Ave Surre,9666 King George Hwy,Surrey,British Columbia,V3T 2V4,Closed
106,1200,SWI,FALSE,"SC - George Street, Ottawa    ",96A George St,Ottawa,Ontario,K1N 5W1,Closed
107,1201,SWI,FALSE,"SC-Finch Avenue E., Toronto   ",4020 Finch Ave E,Scarborough,Ontario,M1S 3T6,Closed
108,1202,SWI,TRUE,Yonge St/Mulock Newmarket     ,16715 Yonge St Unit 4 - 7,Newmarket,Ontario,L3X 1X4,Closed
109,1203,SWI,FALSE,"SC-500 Manning Rd, Windsor    ","500 Manning Rd, RR #1",Windsor,Ontario,N8N 5H3,Active
110,1204,SWI,FALSE,SC-Bedford Highway NS         ,1658 Bedford Highway,Bedford,Nova Scotia,B4A 2X9,Active
111,1205,SWI,FALSE,SC-Marine Dr. West Vancouver  ,Marine Drive,West Vancouver,British Columbia,"",Closed
112,1206,SWI,FALSE,SC-Bowmanville                ,2310 Regional Highway#2,Bowmanville,Ontario,L1C 0K5,Active
113,1207,SWI,FALSE,SC-Morningside & Sheppard     ,6303 Airport Road,Mississauga,Ontario,L4V 1R8,Closed
114,1208,SWI,FALSE,Overlea Blvd/Thorncliffe Park ,60 Overlea Blvd,Toronto,Ontario,M4H 1B6,Active
115,1209,SWI,FALSE,Yonge And 16th AveRichmondHill,9350 Yonge St,Richmond Hill,Ontario,L4C 5G2,Active
116,1210,SWI,TRUE,"SC-Baseline & Waverly, Bowmnv.",6303 Airport Road,Mississauga,Ontario,L4V 1R8,Closed
117,1211,SWI,FALSE,Barrydowne & Lasalle Sudbury  ,1109 Barrydowne Rd,Sudbury,Ontario,P3A 5Z9,Active
118,1212,SWI,FALSE,Walker Rd Windsor             ,4450 Walker Rd,Windsor,Ontario,N8W 3T5,Active
119,1213,SWI,FALSE,TrafalgarRd &Cross Av Oakville,217 Cross Ave,Oakville,Ontario,L6J 2W9,Active
120,1214,SWI,FALSE,Airport And Bovaird Brampton  ,9950 Airport Road,Brampton,Ontario,L6S 0C5,Active
121,1215,SWI,FALSE,Strandherd/West Of Greenbank B,3775 Strandherd Dr,Barrhaven,Ontario,K2J 4B1,Active
122,1216,SWI,FALSE,Queen & Hwy 410 Brampton      ,150 West Dr Building D,Brampton,Ontario,L6T 5P1,Active
123,1217,SWI,FALSE,York Mills & Leslie North York,801 York Mills Rd,North York,Ontario,M3B 1X7,Active
124,1218,SWI,FALSE,Scarborough Towne Centre Scarb,300 Borough Dr Unit 1002,Scarborough,Ontario,M1P 4P5,Active
125,1219,SWI,FALSE,130Ave Se and 52 St Se Calgary,4916 130 Ave SE Unit 300,Calgary,Alberta,T2Z 0G4,Active
126,1220,SWI,FALSE,Queens Quay W & York St Toront,266 Queens Quay W,Toronto,Ontario,M5J 1B5,Active
127,1221,SWI,FALSE,O'Connor & Bermondsey Toronto ,1400 O'Connor Dr,East York,Ontario,M4B 2T8,Active
128,1222,SWI,FALSE,SC-Dartmouth Crossing         ,16 Foulis Row,Dartmouth,Nova Scotia,B3B 0E1,Active
129,1223,SWI,FALSE,SC-Wyecroft and Burloak       ,3543 Wyecroft Road,Oakville,Ontario,L6L 0B7,Active
130,1224,SWI,FALSE,College And University Toronto,700 University Avenue,Toronto,Ontario,M5G 1Z5,Active
131,1225,SWI,FALSE,Yonge & St Clair Toronto      ,1560 Yonge St,Toronto,Ontario,M4T 2S9,Active
132,1226,SWI,FALSE,17Th Street And 38 Avenue Edmo,"4004-17th Street, NW",Edmonton,Alberta,T6T 0C1,Active
133,1227,SWI,TRUE,Hwy 7&Hwy 27 Vaughan/Woodbridg,6120 Highway 7,Vaughan,Ontario,L4H 0R2,Active
134,1228,SWI,FALSE,SC-88 Ave & 204 St Langley    ,"20330 88th Avenue, #300",Langley,British Columbia,V1M 2Y4,Closed
135,1229,SWI,TRUE,"SC-Taylor Drive, Red Deer     ",Taylor Drive,Red Deer,Alberta,"",Closed
136,1230,SWI,FALSE,Mayor MagrathDr South Lethbrid,3849 Mayor Magrath Drive South,Lethbridge,Alberta,T1K 8A8,Active
137,1231,SWI,FALSE,Country Hills & Sarcee Tr Calg,11660 Sarcee Trail N.W,Calgary,Alberta,T3R 0A1,Active
138,1232,SWI,FALSE,"SC-Summerside Centre, London  ",Summerside Centre,London,Ontario,N6M 0B8,Closed
139,1234,SWI,FALSE,"SC-Country Hills, Calgary     ",508 Country Village Way,Calgary,Alberta,T3K 0R2,Active
140,1235,SWI,TRUE,SC-Bay & Wellington Toronto   ,200 Bay Street,Toronto,Ontario,M5J 2J1,Active
141,1236,SWI,FALSE,Woodbine & MajorMackenzie Mark,725 Markland St.,Markham,Ontario,L6C 0G6,Active
142,1237,SWI,FALSE,Stevenson Rd S & Hwy 401 Oshaw,555 Laval Drive,Oshawa,Ontario,L1J 0B6,Active
143,1238,SWI,FALSE,SC-Sarnia (Replace 1140)      ,"1283, London Road",Sarnia,Ontario,N7S 1P3,Active
144,1240,SWI,TRUE,SC-1426 London Rd - Sarnia    ,1426 London Rd,Sarnia,Ontario,N7S 1P7,Closed
145,1243,SWI,FALSE,Swiss Chalet -Edmonton        ,13720 50th Street NW,Edmonton,Alberta,T5A 5J6,Active
146,1244,SWI,FALSE,Bath Rd & Centennial Dr Kingst,1300 Bath Road,Kingston,Ontario,K7M 4X4,Active
147,1246,SWI,FALSE,"SC-Fort William Rd, ThunderBay",879 Fort William Rd,Thunder Bay,Ontario,P7B 0A9,Active
